Time,EcoregionName,EcoregionIndex,NumSites,AGB,
0, eco1,0,32,14894.8, 
0, eco2,1,1239,11980.3, 
0, eco3,2,689,21827.7, 
0, eco4,3,23,15530.5, 
0, eco6,4,3,27030, 
0, eco7,5,44,16694.1, 
0, eco8,6,6,15268, 
0, eco10,7,1861,15086, 
0, eco11,8,554,11894.7, 
0, eco12,9,71,20487.8, 
0, eco14,10,1,16061, 
0, eco16,11,3333,21243.4, 
0, eco17,12,7434,34528.8, 
0, eco18,13,2972,21175.7, 
0, eco19,14,2108,26246.1, 
0, eco20,15,39,17966, 
0, eco21,16,98,25999.6, 
0, eco22,17,695,32261.1, 
0, eco23,18,688,21941.4, 
0, eco24,19,567,28378.8, 
0, eco25,20,12,21843.8, 
0, eco26,21,860,16373.1, 
0, eco27,22,878,15820.7, 
0, eco28,23,746,14312.2, 
0, eco29,24,2644,19243.8, 
0, eco30,25,39,19694.1, 
1, eco1,0,32,12777, 
1, eco2,1,1239,7748.4, 
1, eco3,2,689,18997.3, 
1, eco4,3,23,12492.3, 
1, eco6,4,3,15659.3, 
1, eco7,5,44,11991.2, 
1, eco8,6,6,10445.3, 
1, eco10,7,1861,11822.1, 
1, eco11,8,554,10807.1, 
1, eco12,9,71,17002.4, 
1, eco14,10,1,10865, 
1, eco16,11,3333,13956.3, 
1, eco17,12,7434,23160.9, 
1, eco18,13,2972,15137.2, 
1, eco19,14,2108,19379.5, 
1, eco20,15,39,15696.8, 
1, eco21,16,98,10723.4, 
1, eco22,17,695,12552.6, 
1, eco23,18,688,11992.1, 
1, eco24,19,567,12805.7, 
1, eco25,20,12,5563.3, 
1, eco26,21,860,13503.1, 
1, eco27,22,878,11070.8, 
1, eco28,23,746,11383, 
1, eco29,24,2644,16133.5, 
1, eco30,25,39,13477.7, 
2, eco1,0,32,13069.3, 
2, eco2,1,1239,7903.7, 
2, eco3,2,689,19258.7, 
2, eco4,3,23,12698.7, 
2, eco6,4,3,16197.3, 
2, eco7,5,44,12284.7, 
2, eco8,6,6,10687, 
2, eco10,7,1861,12093.7, 
2, eco11,8,554,11056.1, 
2, eco12,9,71,17304.5, 
2, eco14,10,1,11114, 
2, eco16,11,3333,14273.1, 
2, eco17,12,7434,23565.6, 
2, eco18,13,2972,15453.9, 
2, eco19,14,2108,19767, 
2, eco20,15,39,16069.8, 
2, eco21,16,98,11105.1, 
2, eco22,17,695,13072.2, 
2, eco23,18,688,12344.4, 
2, eco24,19,567,13295.4, 
2, eco25,20,12,5759.6, 
