"","Scenario","Time","AGB_M","AGB_SD","SRR_M","SRR_SD","Min_rate_M","Min_rate_SD","Fungi_M","Fungi_SD","GF_M","GF_SD","Lichen_M","Lichen_SD","Aesthetic_M","Aesthetic_SD","Recreation_M","Recreation_SD","Fungi_val_M","Fungi_val_SD","Carbon_flux_M","Carbon_flux_SD","Nitrogen_flux_M","Nitrogen_flux_SD","Timber_M","Timber_SD"
"1","Scenario 1",0,239.154498588797,77.8612276193921,4.39935986539137,0.18696214371535,18.324428731048,3.08561891645979,2.29338410158213,0.18299507915934,11.8028234952373,2.60351822407289,33.5850113327734,2.08345643466377,4.11113356950572,0.155869990203008,4.14762924606448,0.333912942351404,0.781009168340897,0.230295510069669,NA,NA,NA,NA,344.991306886393,161.493069786217
"2","Scenario 1",1,242.251232450427,77.8341907252358,4.4067793327118,0.187019351232809,18.2029174081229,3.09314204379308,2.30083222162391,0.181378313546958,11.6965379941559,2.5843976726602,33.669635906423,2.05317022228382,4.11741372626468,0.155154074730946,4.16131621083942,0.330480422703357,0.789950654598307,0.232086438685056,0.909250759878419,0.773942910715294,2.4386850484875,0.584708378784639,348.667724189536,162.250331769283
"3","Scenario 1",10,266.418115561828,75.9964158668907,4.46480887156115,0.183498872579006,17.2456429785293,3.08307986905671,2.35730543454857,0.165693213245116,10.8875135298708,2.39213268445665,34.2999814250909,1.78508907442692,4.16573223703345,0.146634942823624,4.26463405260191,0.298461945034316,0.861574805677364,0.240573361333759,2.18617401215805,0.662127420672202,2.63262652578761,0.406834802196541,378.753640949048,165.371724409476
"4","Scenario 1",100,391.415479362667,34.1306576177765,4.76972472883595,0.0848959647057273,11.9590085224016,1.55875421001974,2.58785518706024,0.0419883029512358,7.37863767599784,0.757809850065161,36.2980949173087,0.11174506250633,4.38970768847812,0.0523880018173534,4.67040963870777,0.0711937306927527,1.30837682481558,0.151514507354396,0.55189931007862,0.425294651167388,2.09330342065905,0.836803027996522,591.279861965313,144.917612752296
"5","Scenario 1",11,269.353587434264,75.8982876783664,4.47188750786406,0.183370448833419,17.1272591978568,3.08673145745038,2.36377842034418,0.164098983229419,10.7937233165258,2.37363867524889,34.3689808193878,1.75566411408897,4.1714383058709,0.145857486619492,4.27636066572203,0.295173350550292,0.870732115837322,0.242005454766145,2.22838391952524,0.671627071499773,2.65456409514163,0.415149915102695,382.835386500654,165.973514182223
"6","Scenario 1",12,272.277150226757,75.7921030471861,4.47894228742633,0.183221608956987,17.0090140846188,3.0899869731579,2.37016245488349,0.162498462009032,10.7010220324574,2.35509204706241,34.436446013807,1.72619371495505,4.17709478725814,0.145069582212632,4.28790698616247,0.291881752687206,0.879928104034251,0.24340344596402,2.25714020359919,0.681827709090982,2.70818859458675,0.431157505576647,386.941413547333,166.568713501533
"7","Scenario 1",13,275.179593091137,75.6689973052202,4.48595048952348,0.18303059243028,16.8913149103927,3.09246146894611,2.37644379907087,0.160876561895484,10.6096267377505,2.33625345356994,34.5022876932396,1.69655918134388,4.18268655294425,0.144255988720048,4.29925038050219,0.288560354650737,0.889126378870733,0.244732430349365,2.27518007912384,0.692945098805114,2.72714333960536,0.439900830166105,391.049692861667,167.14313823086
"8","Scenario 1",14,278.051686387321,75.524949251324,4.49288950027242,0.182787206036351,16.7745590116453,3.09395747701744,2.38260671005298,0.159230325797506,10.5197786206923,2.31705370714602,34.5663784240528,1.66678455125586,4.18819760068441,0.143411492905147,4.31036370146187,0.285204746559488,0.898292711680274,0.245970789142668,2.28247138997442,0.702075300077662,2.78071959280165,0.455127974855006,395.142927140704,167.681448554665
"9","Scenario 1",15,280.88712708062,75.3575288392862,4.49974379947106,0.1824852826365,16.6590231388005,3.0943551751773,2.3886414286424,0.157558042151455,10.4316305254106,2.29745077324012,34.6286499089667,1.63688359698111,4.19361742136846,0.142532968887855,4.32123060236595,0.281812078316444,0.90740259115754,0.24710507768734,2.28184137839533,0.71317848548799,2.80016524340233,0.459646629504087,399.211756870106,168.178569915081
"10","Scenario 1",16,283.682537499397,75.1670719385343,4.50650503579227,0.182125496402363,16.5448580114657,3.09365877399784,2.39454316818597,0.155862300828224,10.3452580893752,2.27747426462842,34.6890725514154,1.60689933900826,4.19894057468813,0.141621820922583,4.33184346976175,0.278387289648667,0.916442475682277,0.248133916243401,2.27705447001496,0.721560057691728,2.8033603512327,0.458604184547234,403.249246789763,168.628935444597
"11","Scenario 1",17,286.438469942587,74.9522343145692,4.51317429186789,0.181704753214394,16.432058868188,3.09182421177596,2.40031636027802,0.15413799142859,10.2606045200717,2.25705370618883,34.747719160748,1.57675449819759,4.20416949116734,0.140674571411388,4.34221156054105,0.274919960132101,0.92541047065277,0.249054696795416,2.26880325179718,0.730560692673824,2.83886597192067,0.473981732475456,407.249816893094,169.036862620851
"12","Scenario 1",18,289.149061803445,74.7158633660464,4.51973728003739,0.181229738891972,16.3208727162888,3.08895379481479,2.40595001818239,0.152393762413778,10.1778328394143,2.23630407824441,34.8044869835594,1.54656151358413,4.20929359455845,0.139697743934081,4.3523157788802,0.271426262637418,0.934286164173004,0.249873099315329,2.25512659815699,0.735799941017526,2.85113619916052,0.458364763363795,411.211245727137,169.405432847061
"13","Scenario 1",19,291.817271590196,74.4616586918038,4.52620112708624,0.180709779098087,16.2111807630764,3.08522537182663,2.41145076113113,0.15063275359002,10.0968423104885,2.21528911254342,34.8594398081058,1.51630385742469,4.21431868745105,0.138696367340867,4.36216876819624,0.267910713743228,0.943079180617173,0.250607278294589,2.2411562816616,0.736990397673683,2.8678257827954,0.465766028581585,415.135100143732,169.740165882615
"14","Scenario 1",2,244.409279273411,77.314148251864,4.41193051333281,0.185847740982744,18.1195941142933,3.07794907051467,2.30627137655755,0.179166028155009,11.6196459101179,2.55512058308944,33.7335992952625,2.02081149279908,4.12189561004863,0.153693516755756,4.17138919002261,0.326126984421962,0.795883442113264,0.23169769816486,0.849648658754297,0.842466105976609,2.24319124813047,0.376594372298615,350.660719281195,161.9936198983
"15","Scenario 1",20,294.437282916003,74.1896338009811,4.53255150570387,0.180144739074018,16.1032387709785,3.08062785631961,2.41680965307099,0.148857186876587,10.0177737814916,2.19403118169008,34.9125174668178,1.48602426417756,4.2192351119782,0.137671385255332,4.37175577711073,0.26437789662386,0.951766787738948,0.251254286422195,2.22154670236889,0.736352595634495,2.86996671008829,0.456445160050446,419.016568720575,170.04649538296
"16","Scenario 1",21,297.017804602692,73.8989488752927,4.53880932514833,0.179533165501015,15.996701941527,3.07516760132817,2.42204707537994,0.147057888965508,9.94033239080217,2.17242444721213,34.9639438054388,1.45555158914228,4.22406030955616,0.136618061103931,4.3811146635335,0.260809373208632,0.96037507966229,0.251820776045556,2.20355888454673,0.737952063594371,2.8460860230617,0.434930977226872,422.851223954278,170.322043674604
"17","Scenario 1",22,299.545999469291,73.5801409780509,4.54494277770556,0.178851045320415,15.8921478542804,3.06837885620192,2.42714570842723,0.145228970880287,9.86481484022277,2.15032089999509,35.0136530020338,1.42496483248945,4.22877394218527,0.135524400751462,4.39021628834101,0.257197503313853,0.968849668171998,0.252256536030359,2.17841584648043,0.744829247085851,2.88508949679162,0.446617747936506,426.626928207149,170.554549555412
"18","Scenario 1",23,302.02013797221,73.2314502673045,4.55094735206219,0.178093883509141,15.7896702003624,3.06017313378008,2.43210613191978,0.143369842451926,9.79123008512298,2.12769649956903,35.0616973169158,1.39428957639033,4.23337449538506,0.134388358786159,4.39906270962554,0.253541965395391,0.977179515975322,0.252551646823446,2.15027727119217,0.753613573669742,2.87940850098905,0.43337293066104,430.339947086426,170.739071826302
"19","Scenario 1",24,304.439380409611,72.8521478084247,4.5568207455469,0.177259603071351,15.6893223667742,3.05049893274024,2.43693007698603,0.141483243908715,9.71956853410277,2.10457176569766,35.1081346238956,1.36360003537679,4.23786183801533,0.133210303517938,4.40765767986125,0.249848906694992,0.985357263299584,0.252698527821076,2.12007434746948,0.765996097444164,2.87104501375018,0.434350167031179,433.98742377602,170.875754706768
"20","Scenario 1",25,306.803126067448,72.443208605364,4.5625613128219,0.176350680299874,15.5911424076141,3.03940456237692,2.44161875665669,0.139569872535282,9.64982064832497,2.0809602805269,35.1530016175283,1.33289045668821,4.24223587557434,0.131991482306152,4.41600424255537,0.24611933925883,0.993377979443942,0.252702190426684,2.08902482269503,0.776260929636775,2.87519419115165,0.445187008009085,437.569244593077,170.968795215485
"21","Scenario 1",26,309.114256814783,72.0079204309664,4.56817599957797,0.175375449111373,15.4950143599404,3.02705141688462,2.44617857326843,0.137632045858032,9.58189097378137,2.05691433967554,35.1963631120619,1.30214027405904,4.24650224124789,0.13073615197465,4.42411442311015,0.242356755889607,1.00125089212566,0.252579878602103,2.05766026197714,0.789142227115328,2.88067375886526,0.458464723796963,441.087441458404,171.02115121249
"22","Scenario 1",27,311.370906329908,71.5499136733989,4.57366020235423,0.174342674042501,15.4010207276622,3.01358704170266,2.45060673961313,0.135678029623048,9.51582372143855,2.03255166386247,35.2382014038761,1.27144627676817,4.25065787067589,0.129451409436662,4.43198365207432,0.238576781357482,1.00896861977514,0.252343421846431,2.0256203382062,0.797914997282923,2.86418680947556,0.443938019207855,444.544545329084,171.042492978107
"23","Scenario 1",28,313.57430018816,71.0719068920764,4.57901681861554,0.173258995964995,15.3091161541768,2.99912744384538,2.45490670496846,0.133713090316464,9.45157099952974,2.00795040987899,35.2785600110002,1.24086436542257,4.25470546391778,0.128142166484744,4.43961845584868,0.234789360633805,1.01653411735523,0.252003051162053,1.99444122400734,0.806314450132317,2.84893737636897,0.469599717268593,447.945383654166,171.03470423126
"24","Scenario 1",29,315.724632580692,70.5771558587861,4.58424625885691,0.172132343037906,15.2192968685703,2.98380959256415,2.45907964271839,0.131743655238835,9.38911747781582,1.98320459557581,35.3174574474421,1.21046220193801,4.25864571408223,0.126814395759676,4.44702123485017,0.231006310752506,1.02394715919173,0.251570331520646,1.96282454045447,0.813725462625024,2.85820306846145,0.475083108655123,451.288163240446,171.005212086706
"25","Scenario 1",3,246.8203083659,77.0078388155339,4.41770146082992,0.185203245929619,18.0253851464351,3.07220837719484,2.31214299833295,0.177282995253247,11.5361245950347,2.53117799031295,33.8010448371704,1.99057306994442,4.12681623389717,0.152585983959567,4.18220396129214,0.322326983972679,0.802753251929013,0.232177073521617,1.21714200077193,0.679931074605058,2.23243957157329,0.350166125858929,353.270825231885,162.119551002832
