"","Scenario","Time","Replicate","AGB_M","SRR_M","Min_rate_M","Fungi_M","GF_M","Lichen_M","Aesthetic_M","Recreation_M","Fungi_val_M","Carbon_stock_M","Nitrogen_stock_M","Timber_M","Tree_richness_M"
"1","Scenario 1",0,1,239.154498588797,3.582905376858,18.9927689604526,10.0679378976533,11.8028234952231,33.5850141264545,4.11113359183111,4.14762924606448,0.77852234400768,260.749451331596,598.594941380808,344.991306886393,21.8670574612824
"2","Scenario 1",0,2,239.154498588797,3.582905376858,18.9927689604526,10.0679378976533,11.8028234952231,33.5850141264545,4.11113359183111,4.14762924606448,0.77852234400768,260.749451331596,598.594941380808,344.991306886393,21.8670574612824
"3","Scenario 1",0,3,239.154498588797,3.582905376858,18.9927689604526,10.0679378976533,11.8028234952231,33.5850141264545,4.11113359183111,4.14762924606448,0.77852234400768,260.749451331596,598.594941380808,344.991306886393,21.8670574612824
"4","Scenario 1",1,1,242.251232450427,3.5866555922304,18.8712576375275,10.1401870860719,11.6965379941418,33.6696387071511,4.11741374847786,4.16131621083942,0.787435359528769,261.658702091475,601.033626429295,348.667724189536,21.8670574612824
"5","Scenario 1",1,2,242.251232450427,3.5866555922304,18.8712576375275,10.1401870860719,11.6965379941418,33.6696387071511,4.11741374847786,4.16131621083942,0.787435359528769,261.658702091475,601.033626429295,348.667724189536,21.8670574612824
"6","Scenario 1",1,3,242.251232450427,3.5866555922304,18.8712576375275,10.1401870860719,11.6965379941418,33.6696387071511,4.11741374847786,4.16131621083942,0.787435359528769,261.658702091475,601.033626429295,348.667724189536,21.8670574612824
"7","Scenario 1",10,1,266.401676689825,3.61596167995421,17.9146613602419,10.7000183606146,10.8880077615443,34.2996548120814,4.16570148536807,4.264574352362,0.858776937166137,276.996120458822,622.829906643508,378.753851261888,22.5102402663193
"8","Scenario 1",10,2,266.430220726589,3.61599634956613,17.9135259008923,10.7006751404679,10.8870615340044,34.3003807569367,4.16575818659616,4.26469464051461,0.858862392768887,277.018203068461,622.820447966421,378.750972119249,22.3178824721378
"9","Scenario 1",10,3,266.422449269069,3.61598739133262,17.9137623626672,10.7004458341675,10.8874712940247,34.299917265933,4.16573710314128,4.26463316492913,0.858855022905827,277.011361774497,622.832689245911,378.756099466006,22.3071718048922
"10","Scenario 1",100,1,391.457797148647,3.76993659506212,12.6254746690705,13.313193615331,7.37760787206638,36.2984389519647,4.38977701361014,4.67051544277174,1.30438181098002,401.022027970763,856.00227601679,591.226781378684,21.0358590244608
"11","Scenario 1",100,2,391.476963779129,3.76996134695844,12.6244897911719,13.3132934146809,7.37734593638557,36.2979991584482,4.38979833602385,4.67052420708619,1.30449781488407,401.063450318425,856.153053987553,591.334386111848,21.0319872629903
"12","Scenario 1",100,3,391.311677160226,3.76975385918202,12.632081795176,13.3107203717503,7.38095921951689,36.2978557013397,4.38954776626466,4.67018926626537,1.30375277490772,400.9079647923,855.942640034737,591.278418405407,20.9740917643653
"13","Scenario 1",11,1,269.334323310175,3.61953431977236,17.7963944878964,10.7666387529481,10.7943013760128,34.368598203385,4.17140229038946,4.27629080549569,0.867895669100417,279.222733101751,625.468577218121,382.834708959123,22.5113981762918
"14","Scenario 1",11,2,269.3677852077,3.61957502587121,17.7950538424942,10.7674037840654,10.7932131875563,34.3694161320188,4.17146802301775,4.27642808792735,0.867997850970724,279.247960124475,625.491666666667,382.8333498898,22.4466275872051
"15","Scenario 1",11,3,269.358653784918,3.61956437910209,17.7953499513935,10.7671452168978,10.7936553859699,34.3689366996832,4.17144466789024,4.27636310374306,0.86798528941455,279.240143834129,625.486492256477,382.838100653038,22.3283760312636
"16","Scenario 1",12,1,272.254396367057,3.62309386934161,17.6782981232749,10.8327248346207,10.7016949180975,34.4360107428447,4.17705260880741,4.28782630817073,0.877049758452805,281.47672173976,628.193566362715,386.93941676382,22.5113981762918
"17","Scenario 1",12,2,272.294550730931,3.62314278476821,17.6766790696253,10.8336379441948,10.7004118536302,34.4369568278746,4.17713069291505,4.28798696549701,0.877174514495623,281.507955420466,628.189564336373,386.94044294315,22.4477854971776
"18","Scenario 1",12,3,272.282503582284,3.62312863238885,17.6770857491698,10.8333036014104,10.7009593256064,34.4363790644884,4.17710112341759,4.28790768481965,0.877154657826793,281.497580510928,628.188171225937,386.944380935028,22.4363511361992
"19","Scenario 1",13,1,275.155229519467,3.62663200732896,17.5606713551838,10.8981402489655,10.6103346982244,34.5018408439756,4.182641826383,4.29916626759276,0.886212163432509,283.750908778405,630.898382544507,391.050190845682,22.5113981762918
"20","Scenario 1",13,2,275.198684541902,3.62668507879083,17.5588987831436,10.8991176296145,10.6089908742067,34.5027932424823,4.18272474594113,4.29933202026963,0.88635147299227,283.783595925604,630.927873064119,391.049334449015,22.4486177449703
"21","Scenario 1",13,3,275.184865212042,3.62666864604704,17.5593952810643,10.8987525849022,10.6095546407827,34.5022376035059,4.18269314955747,4.29925285364416,0.886322253715789,283.773293204516,630.926476335215,391.049553290304,22.4363511361992
"22","Scenario 1",14,1,278.025978976697,3.63013538893475,17.4439718220834,10.9626515053457,10.5205236607398,34.5659058483336,4.18815043121506,4.31027519314471,0.895344781009141,286.031509082356,633.684389926183,395.143630437798,22.5340136054422
"23","Scenario 1",14,2,278.072744174265,3.63019252596984,17.4420607692445,10.9637062314184,10.5190875038546,34.5669225796277,4.18823939700867,4.31045196510477,0.895495191995949,286.068155304675,633.705214213345,395.142839451136,22.4497756549428
"24","Scenario 1",14,3,278.056336011,3.63017291651275,17.4426651318218,10.9632810269371,10.519724697445,34.566315470463,4.18820303656489,4.31036394613613,0.89545735554138,286.055547691417,633.705286582718,395.142311533177,22.4363511361992
"25","Scenario 1",15,1,280.858883919525,3.63359438419472,17.3285390188637,11.0261006762363,10.43245399257,34.6281192014625,4.19356538463006,4.32113233029964,0.904417674950309,288.311808184976,636.476935880735,399.21224853178,22.5548921696338
"26","Scenario 1",15,2,280.913040924881,3.63366052231763,17.3263304515025,11.0273279029878,10.4307826808512,34.6293154423108,4.19366876469881,4.32133870864921,0.904590733129046,288.353317122594,636.515765667969,399.214707279652,22.4497756549428
"27","Scenario 1",15,3,280.889456397453,3.63363219412586,17.327220634249,11.0267337889024,10.4316549027736,34.6285237249603,4.19361817720248,4.321220768149,0.904531538138152,288.335610906065,636.502684903749,399.208314798887,22.4563974525981
"28","Scenario 1",16,1,283.652715154147,3.6370073935761,17.2144379428691,11.0884676717821,10.3461312288077,34.6885060785028,4.19888549767926,4.33173906319167,0.913423789730333,290.587120458822,639.287024171371,403.249920712156,22.5548921696338
"29","Scenario 1",16,2,283.712844297293,3.63708083272312,17.2119846671516,11.0898290277204,10.3442777796277,34.6898295379693,4.19900018637251,4.3319677169441,0.913616206298983,290.634052540165,639.311868577218,403.25472316491,22.4506079027356
"30","Scenario 1",16,3,283.682053046751,3.63704368119047,17.2131721125901,11.0890737983771,10.3453652596536,34.6888906947138,4.19893610213357,4.33182362914948,0.913533251617903,290.610726624692,639.306574757563,403.243096492222,22.4563974525981
"31","Scenario 1",17,1,286.406495657838,3.6403731500756,17.1017195948678,11.1497302146965,10.2615578735403,34.7470786274604,4.20410976875085,4.34209632939448,0.922357956465077,292.854374330583,642.114777826024,407.251265661806,22.556484295846
"32","Scenario 1",17,2,286.47190302504,3.64045299933675,17.0990564796651,11.1512168915953,10.2595311724961,34.7485398268056,4.20423494950062,4.34234708163379,0.922565956352628,292.905047438124,642.176418439716,407.257428548075,22.453177015487
"33","Scenario 1",17,3,286.437011144883,3.64041077337977,17.1004212182447,11.1503765329777,10.2607245141425,34.7475476995803,4.20416381707085,4.34219127059489,0.922467654310657,292.878887610363,642.130869156173,407.2407564694,22.4769141699233
"34","Scenario 1",18,1,289.113437219569,3.6436832684848,16.9906751961326,11.2097434593832,10.1789127249317,34.8037383847614,4.20922635487782,4.35218396366838,0.931195380423292,295.106482160949,644.95222173976,411.211539660303,22.556484295846
"35","Scenario 1",18,2,289.186730532639,3.64377269692672,16.9876982475909,11.2114171094186,10.176627832613,34.8054041528461,4.20936718622748,4.35246760761192,0.931426734538652,295.164914857432,645.021055869156,411.2240988388,22.4736937328123
"36","Scenario 1",18,3,289.147017658127,3.64372454502666,16.9892653933565,11.2104717108441,10.1779579606623,34.8043270988668,4.20928730409468,4.35229576536029,0.931311748992532,295.13229215516,645.002196410479,411.198098682307,22.4794832826748
"37","Scenario 1",19,1,291.779865899551,3.64694541789527,16.8810552990755,11.2686473073541,10.0979780025255,34.858649524059,4.21424801013619,4.36203012561843,0.939954887204847,297.34605489217,647.827598060501,415.135530306415,22.556484295846
"38","Scenario 1",19,2,291.85962870893,3.64704282733646,16.8778023911194,11.2704572157625,10.095517617743,34.860411549474,4.21440024131447,4.36233353021388,0.940209662904976,297.408892784773,647.88621363439,415.153584997986,22.4762628455638
"39","Scenario 1",19,3,291.812320162107,3.64698522736523,16.8797052872478,11.2693645733591,10.0970313111613,34.8592670503217,4.21430787213618,4.36214264875639,0.940064369202923,297.372210341583,647.86513967289,415.116185126793,22.4794832826748
"40","Scenario 1",2,1,244.408677920104,3.58925931706795,18.7879612112872,10.1914913006947,11.6196598861393,33.7335979273702,4.12189466614206,4.17138779050263,0.793346791280926,262.508027898393,603.278028658272,350.659896177124,21.9650455927052
"41","Scenario 1",2,2,244.409903423071,3.58926084386009,18.7879066750417,10.1915159976372,11.6196317335909,33.7336085329862,4.12189665330313,4.1713907153791,0.793351697794129,262.508704226371,603.280156317846,350.661287179566,21.9218048921696
"42","Scenario 1",2,3,244.409256477059,3.58926003998111,18.7879351447647,10.1915007127901,11.6196461105817,33.7335998435912,4.12189557710566,4.1713890641861,0.793349279991761,262.508320125923,603.272268056159,350.660974486895,21.965769286438
"43","Scenario 1",20,1,294.39808029382,3.65015017730433,16.7731763641879,11.3262636638046,10.0189835417573,34.9116461017759,4.21916021818679,4.3716065960978,0.948611606558146,299.566494391374,650.703857287596,419.017884469839,22.556484295846
"44","Scenario 1",20,2,294.482293892025,3.65025301295262,16.7697433436203,11.3281806938373,10.0163854981079,34.9135151490014,4.21932104267205,4.37192709285198,0.948880027302841,299.632510565928,650.748085830077,419.037057156726,22.4770950933565
"45","Scenario 1",20,3,294.431474562165,3.65019094099985,16.7718172933409,11.3270336266207,10.0179523045741,34.9123998624861,4.21922413602385,4.3717336423824,0.948717119749583,299.592793168331,650.736908380373,418.994764535159,22.5751555941526
"46","Scenario 1",21,1,296.975361267911,3.65330625489125,16.6667691890551,11.3827761840597,9.94164655738272,34.9629906504041,4.22397904035732,4.3809523112933,0.957182773730027,301.767073744391,653.543957157331,422.851737620299,22.556484295846
"47","Scenario 1",21,2,297.068379106962,3.65341984241769,16.662977142253,11.3848931643698,9.93877688536957,34.9650541588843,4.22415666736847,4.38130624238805,0.957479300707713,301.841141301201,653.608561296859,422.87714005477,22.5753365175858
"48","Scenario 1",21,3,297.009673433203,3.65334808994333,16.6653801814866,11.3835770349237,9.94057372961923,34.9637953326989,4.22404528160958,4.38108543691915,0.957289325521877,301.794259733681,653.574591113041,422.824794187763,22.5751555941526
"49","Scenario 1",22,1,299.502597083514,3.65640220201633,16.5622538812939,11.4380341768234,9.86615800463835,35.0126756835299,4.22869082157574,4.3900503416294,0.965627520017543,303.944456542191,656.406169489072,426.628451734402,22.5590534085975
"50","Scenario 1",22,2,299.598512809379,3.65651938542457,16.558335058624,11.4402131978618,9.86321798454264,35.0147730906517,4.22887330445438,4.39041166705431,0.965935065872349,304.021235381387,656.50991460414,426.65380536262,22.6071066724562
"51","Scenario 1",22,3,299.53688851498,3.65644394827068,16.560875311137,11.438846621346,9.86506853145265,35.0135189700224,4.22875776091715,4.39018685633932,0.965731627359696,303.972030395137,656.466293964394,426.598527524424,22.5751555941526
"52","Scenario 1",23,1,301.973055362571,3.65942967451121,16.4599234870567,11.4919101092681,9.79269317030786,35.0606290403561,4.23328412878675,4.39888155280772,0.973919657286591,306.091710269214,659.307928064843,430.340360496082,22.5590534085975
"53","Scenario 1",23,2,302.076925097699,3.65955659589935,16.4556766198086,11.4942631257158,9.78951341993545,35.0628857087455,4.23348151181779,4.3992719132965,0.974253611975595,306.17449591113,659.361141265017,430.370562896066,22.6071066724562
"54","Scenario 1",23,3,302.010433456361,3.65947510993375,16.4584311824355,11.492801954855,9.79148366509125,35.0615859517647,4.23335790567262,4.39903466277239,0.974030917772135,306.122347951947,659.351534230714,430.308917867129,22.5751555941526
"55","Scenario 1",24,1,304.390947785497,3.66239366177791,16.3596295250189,11.5445182660237,9.72107478639871,35.107030896267,4.23776880639571,4.40747105263074,0.982067411637045,308.210114994934,662.174815458098,433.990271837212,22.56021131857
"56","Scenario 1",24,2,304.498475611521,3.66252511919126,16.3552231031428,11.5469463706273,9.71780345693339,35.1093296276879,4.23797236312025,4.40787120312649,0.982415354468889,308.297305760602,662.244358807353,434.019111202596,22.6071066724562
"57","Scenario 1",24,3,304.428717831814,3.66243948371745,16.3581351603745,11.5454350621751,9.71982735894211,35.1080521094655,4.23784440438853,4.40763078382652,0.982176546192985,308.241356419163,662.214564336373,433.952888288253,22.5751555941526
"58","Scenario 1",25,1,306.75335214937,3.66529049135015,16.2615068479656,11.5958079116924,9.65136249453607,35.151877053357,4.24214048334785,4.41581353301064,0.99005777260632,310.298428752352,665.036365610074,437.573212003633,22.5606455348097
"59","Scenario 1",25,2,306.865309704733,3.66542743986817,16.2569074795077,11.5983257165684,9.64797914341906,35.1542272904382,4.24235154601034,4.41622587612396,0.990422673568778,310.388534773484,665.127840497901,437.604220719176,22.627370096975
"60","Scenario 1",25,3,306.790716348241,3.66533578754947,16.2600335835825,11.596722881343,9.65012030698596,35.1529092817457,4.24221565696592,4.4159733185315,0.990164397865538,310.328888116949,665.095115067304,437.530301056421,22.5965045592705
"61","Scenario 1",26,1,309.063651758576,3.66812435329809,16.165408675442,11.645839537009,9.58346530914675,35.1952033282473,4.24640495591312,4.42391917405754,0.997904002097267,312.355302250687,667.923118396295,441.093067867706,22.5811622521349
"62","Scenario 1",26,2,309.179789658417,3.66826642312347,16.1606363889806,11.6484525768393,9.57995907292368,35.1976381456073,4.2466238004613,4.42434623924364,0.998282678835444,312.448899876972,668.015266319294,441.12639693493,22.627370096975
"63","Scenario 1",26,3,309.099329027356,3.6681674934232,16.1640187036123,11.6467334648635,9.58224853924014,35.1962566461333,4.24647802671872,4.42407785602925,0.998001696332155,312.384630301057,667.962957736286,441.042859572578,22.5995078882617
"64","Scenario 1",27,1,311.32103528007,3.67089418897227,16.0713783432818,11.6946031809455,9.51738743384096,35.237030147987,4.25056146805281,4.43178880141743,1.00560119938733,314.38064669272,670.787277464177,444.552193816705,22.5811622521349
"65","Scenario 1",27,2,311.438340208424,3.67103769547657,16.0665567313062,11.6972428625721,9.51384946227499,35.2394851043679,4.25078239997923,4.43221947487318,1.00598390889757,314.476099616442,670.875394413084,444.585805272022,22.6278043132146
"66","Scenario 1",27,3,311.35334350123,3.6709330689104,16.0701477966123,11.6954471865259,9.51623426816643,35.2380977535416,4.25062980309947,4.43194267993235,1.00568272948928,314.408947134173,670.831231003039,444.495636898524,22.5995078882617
"67","Scenario 1",28,1,313.526132399768,3.6736006819234,15.9794030830597,11.7421244602574,9.45308364987011,35.2774205251221,4.25461222248366,4.43942977736263,1.0131484314125,316.375977276017,673.631694167029,447.955131133717,22.6016789694601
"68","Scenario 1",28,2,313.643504486901,3.67374430214433,15.9745739421198,11.7447636212015,9.44955418554476,35.2798599178378,4.25483290324447,4.43985863018894,1.01353233313354,316.472058944855,673.725940801853,447.988798114346,22.6278043132146
"69","Scenario 1",28,3,313.553263677812,3.67363318357967,15.9783921255643,11.7428621402773,9.45207516314135,35.2784083944053,4.25467132488924,4.43956695999448,1.01321129768424,316.400980894485,673.683080040527,447.892221714434,22.5995078882617
"70","Scenario 1",29,1,315.677183383992,3.67624175916757,15.8895431657413,11.7883481155913,9.39062843388625,35.3162879429418,4.25855297536801,4.44683123961985,1.02054297287816,318.3392344044,676.502189173542,451.300888383557,22.6042480822116
"71","Scenario 1",29,2,315.796793711101,3.67638808210032,15.8846273854027,11.7910445241063,9.38702181698914,35.3187958301448,4.25877828041258,4.44727017926077,1.02093283838331,318.437293783471,676.594662758721,451.333770454238,22.6292155159936
"72","Scenario 1",29,3,315.699920646982,3.67626870053818,15.8887407427806,11.7890222662757,9.38970218253933,35.3172973833354,4.25860594509618,4.44696228566987,1.0205845645048,318.360962548849,676.51847228253,451.229830883544,22.5995078882617
"73","Scenario 1",3,1,246.819301237516,3.59217600778791,18.6937691477395,10.2481078598289,11.5361505464902,33.801036165683,4.12681454387538,4.18220116435181,0.800193335717307,263.724689245911,605.50953466493,353.270994786426,21.9899406571139
"74","Scenario 1",3,2,246.823048234187,3.59218054268189,18.6936225448325,10.2481940857203,11.5360202649279,33.8011388295423,4.12682217582409,4.18221795663951,0.800204101984204,263.727543674917,605.510573165436,353.272061041241,21.9218048921696
