Scenario,Year,mean_AGB,SRR,Min_rate,Fungi,GF,Lichen,Aesthetic,Recreation
1,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
1,10,266.56478,5.54077185,17.57939419,10.37628488,10.5139456,33.93510817,4.249461789,4.162813458
1,20,294.5953434,5.644651698,16.32154603,10.95421339,9.641571014,34.46739267,4.354569993,4.21579274
1,30,317.9873035,5.734002189,15.24840393,11.42471095,8.963650825,34.84884761,4.436714746,4.258868765
1,40,336.3834553,5.805337716,14.39504553,11.79383401,8.46205643,35.12386237,4.498924853,4.292283971
1,50,351.3761637,5.864355202,13.69181496,12.09076375,8.072433881,35.32645213,4.547660614,4.319136433
1,60,363.9788555,5.914660914,13.09455229,12.33587427,7.75757148,35.4792473,4.587094252,4.341407243
1,70,374.2228369,5.956211706,12.60325514,12.52888536,7.509550244,35.58642971,4.617711742,4.359224312
1,80,382.0029715,5.988429761,12.22429957,12.6674889,7.325362465,35.65049782,4.63960136,4.372472286
1,90,387.5824569,6.012015494,11.94829776,12.76050451,7.195252718,35.683738,4.654344449,4.381767693
1,100,391.5967767,6.029241193,11.7474623,12.82392479,7.102647978,35.70085852,4.66445501,4.388346465
2,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
2,10,253.1136036,5.495429419,18.14329259,10.05561992,10.9486398,33.56974089,4.189859227,4.135474841
2,20,281.9877243,5.599350445,16.87477329,10.67225766,10.02128248,34.19073017,4.30461552,4.191365549
2,30,306.8223958,5.691858812,15.75617628,11.1909475,9.27996695,34.65326481,4.396701288,4.238102579
2,40,326.8372833,5.767847384,14.84203763,11.60737317,8.719701839,34.99319888,4.467728671,4.275151211
2,50,343.4000195,5.831941277,14.07489165,11.946369,8.279393147,35.24520076,4.523842322,4.305287625
2,60,357.3632769,5.886956744,13.41950388,12.22551252,7.923692533,35.43316638,4.568999694,4.330271119
2,70,368.6848372,5.93238577,12.8808665,12.4444081,7.645067178,35.56453161,4.603801408,4.350171919
2,80,377.2728734,5.967641635,12.46527136,12.6010896,7.438884653,35.64338423,4.628533035,4.364925233
2,90,383.4161619,5.99344587,12.16283203,12.70550542,7.293819547,35.68435752,4.645059953,4.375228904
2,100,387.85181,6.012410798,11.94152311,12.77634645,7.190279435,35.70510295,4.656351306,4.382526768
3,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
