"Scenario","Variable","Time","Resistance","Resistance2","Recovery","value","variable","ESLab","Scen_lab","Scen_lab2"
"Scenario 10","AGB_M",100,0.372978586617345,0.833017022932861,0.0070252319397411,220.182789284508,"AGB_M","Aboveground biomass",60,"Pulse + Press"
"Scenario 11","AGB_M",100,0.267847229777266,0.587645568235115,0.00399512847548218,179.332044881073,"AGB_M","Aboveground biomass",80,"Pulse + Press"
"Scenario 12","AGB_M",100,0.133749539946539,0.375005352158188,0.00267363586700311,132.138407451633,"AGB_M","Aboveground biomass",100,"Pulse + Press"
"Scenario 2","AGB_M",100,0.7727650286555,1,-0.0173320031871028,369.359236466927,"AGB_M","Aboveground biomass",20,"Pulse"
"Scenario 3","AGB_M",100,0.57698167569889,1,-0.0414406571892423,351.487273122015,"AGB_M","Aboveground biomass",40,"Pulse"
"Scenario 4","AGB_M",100,0.381632960714383,1,0.0742581823691584,323.751648658754,"AGB_M","Aboveground biomass",60,"Pulse"
"Scenario 5","AGB_M",100,0.256696572558598,1,0.026608777727897,304.305222294592,"AGB_M","Aboveground biomass",80,"Pulse"
"Scenario 6","AGB_M",100,0.133758354505446,1,0.0148649590648495,273.877940608868,"AGB_M","Aboveground biomass",100,"Pulse"
"Scenario 8","AGB_M",100,0.832976878591516,1,-0.0185207778439375,322.455789260385,"AGB_M","Aboveground biomass",20,"Pulse + Press"
"Scenario 9","AGB_M",100,0.565164740029096,1,0.028275449502758,273.03745251363,"AGB_M","Aboveground biomass",40,"Pulse + Press"
"Scenario 10","SRR_M",100,0.887465706805755,0.976177276089945,0.00698558446233374,4.35365581558309,"SRR_M","Soil respiration rate",60,"Pulse + Press"
"Scenario 11","SRR_M",100,0.860333788577584,0.934207533401354,0.00396198900000083,4.25688182841184,"SRR_M","Soil respiration rate",80,"Pulse + Press"
"Scenario 12","SRR_M",100,0.820342558012362,0.888209796662316,0.00263259963273721,4.14587889752766,"SRR_M","Soil respiration rate",100,"Pulse + Press"
"Scenario 2","SRR_M",100,0.966666491269321,1,-0.0172552751304501,4.71515551265551,"SRR_M","Soil respiration rate",20,"Pulse"
