"Scenario","Replicate","Variable","Time","Resistance","Resistance2","Recovery","value","variable","ESLab","Scen_lab","Scen_lab2"
"Scenario 1",1,"AGB_M",100,1,1,-0.00922825227243712,391.457797148647,"AGB_M","Aboveground biomass",0,"Pulse"
"Scenario 10",1,"AGB_M",100,0.35478814681469,0.825330238793849,0.00700395421759407,219.069693009119,"AGB_M","Aboveground biomass",60,"Pulse + Press"
"Scenario 11",1,"AGB_M",100,0.271743468931217,0.596947517126345,0.00408602087684288,181.109610906065,"AGB_M","Aboveground biomass",80,"Pulse + Press"
"Scenario 12",1,"AGB_M",100,0.133737602568534,0.375128186019061,0.00267516308253099,132.169882508322,"AGB_M","Aboveground biomass",100,"Pulse + Press"
"Scenario 2",1,"AGB_M",100,0.779416322244021,1,-0.0168834009168334,371.732910298162,"AGB_M","Aboveground biomass",20,"Pulse"
"Scenario 3",1,"AGB_M",100,0.529042959083177,1,-0.0677569373278141,344.314155992184,"AGB_M","Aboveground biomass",40,"Pulse"
"Scenario 4",1,"AGB_M",100,0.349980306869523,1,0.051978231556026,319.607956361268,"AGB_M","Aboveground biomass",60,"Pulse"
"Scenario 5",1,"AGB_M",100,0.25801088752379,1,0.0256873806423467,302.069795592705,"AGB_M","Aboveground biomass",80,"Pulse"
"Scenario 6",1,"AGB_M",100,0.133730167425578,1,0.0148647918337908,273.878745259806,"AGB_M","Aboveground biomass",100,"Pulse"
"Scenario 7",1,"AGB_M",100,1,1,-0.00887101680328102,357.247620386452,"AGB_M","Aboveground biomass",0,"Pulse + Press"
"Scenario 8",1,"AGB_M",100,0.856455924681758,1,-0.0166937241531048,324.922134643219,"AGB_M","Aboveground biomass",20,"Pulse + Press"
"Scenario 9",1,"AGB_M",100,0.541578143626067,1,0.0209080003907527,266.043157331018,"AGB_M","Aboveground biomass",40,"Pulse + Press"
"Scenario 1",2,"AGB_M",100,1,1,-0.00922715762432199,391.476963779129,"AGB_M","Aboveground biomass",0,"Pulse"
"Scenario 10",2,"AGB_M",100,0.389663570365373,0.909099858101123,0.00846719619690667,230.716649117094,"AGB_M","Aboveground biomass",60,"Pulse + Press"
"Scenario 11",2,"AGB_M",100,0.262343994399469,0.578010979966451,0.00391673511515099,177.46881871472,"AGB_M","Aboveground biomass",80,"Pulse + Press"
"Scenario 12",2,"AGB_M",100,0.133753380911381,0.376037771744491,0.00268542922534369,132.402780684614,"AGB_M","Aboveground biomass",100,"Pulse + Press"
"Scenario 2",2,"AGB_M",100,0.794923834937833,1,-0.016336266230691,370.22191453177,"AGB_M","Aboveground biomass",20,"Pulse"
"Scenario 3",2,"AGB_M",100,0.652600987117547,1,-0.0263032710430118,361.128884968881,"AGB_M","Aboveground biomass",40,"Pulse"
"Scenario 4",2,"AGB_M",100,0.426890985470967,1,0.289467192605805,332.722931249095,"AGB_M","Aboveground biomass",60,"Pulse"
"Scenario 5",2,"AGB_M",100,0.261898290264745,1,0.0267837726404538,303.993729012882,"AGB_M","Aboveground biomass",80,"Pulse"
"Scenario 6",2,"AGB_M",100,0.133784854046946,1,0.0149054999470618,274.120857794182,"AGB_M","Aboveground biomass",100,"Pulse"
"Scenario 7",2,"AGB_M",100,1,1,-0.00886897918907961,357.111712946881,"AGB_M","Aboveground biomass",0,"Pulse + Press"
"Scenario 8",2,"AGB_M",100,0.763649818783267,1,-0.0281730648678314,313.446131893183,"AGB_M","Aboveground biomass",20,"Pulse + Press"
"Scenario 9",2,"AGB_M",100,0.604350259497794,1,0.0601494281013208,284.19730489217,"AGB_M","Aboveground biomass",40,"Pulse + Press"
"Scenario 1",3,"AGB_M",100,1,1,-0.00922678746747649,391.311677160226,"AGB_M","Aboveground biomass",0,"Pulse"
"Scenario 10",3,"AGB_M",100,0.374931383315989,0.769933833538187,0.00584529586492456,210.762025727312,"AGB_M","Aboveground biomass",60,"Pulse + Press"
"Scenario 11",3,"AGB_M",100,0.269492286190051,0.588091339252527,0.00398528670896512,179.417705022435,"AGB_M","Aboveground biomass",80,"Pulse + Press"
"Scenario 12",3,"AGB_M",100,0.133757636556228,0.373851852780733,0.00266033924015801,131.842559161963,"AGB_M","Aboveground biomass",100,"Pulse + Press"
"Scenario 2",3,"AGB_M",100,0.744704646885223,1,-0.0189659383641725,366.12288457085,"AGB_M","Aboveground biomass",20,"Pulse"
"Scenario 3",3,"AGB_M",100,0.554586842664786,1,-0.0496398667688567,349.018778404979,"AGB_M","Aboveground biomass",40,"Pulse"
"Scenario 4",3,"AGB_M",100,0.370298977839964,1,0.0571108686568494,318.9240583659,"AGB_M","Aboveground biomass",60,"Pulse"
"Scenario 5",3,"AGB_M",100,0.250236732525008,1,0.0273840155387476,306.852142278188,"AGB_M","Aboveground biomass",80,"Pulse"
"Scenario 6",3,"AGB_M",100,0.13376004336649,1,0.0148247159794987,273.634218772615,"AGB_M","Aboveground biomass",100,"Pulse"
"Scenario 7",3,"AGB_M",100,1,1,-0.00887240239499057,357.294567701549,"AGB_M","Aboveground biomass",0,"Pulse + Press"
"Scenario 8",3,"AGB_M",100,0.883185652060475,1,-0.0149372361604637,328.999101244753,"AGB_M","Aboveground biomass",20,"Pulse + Press"
"Scenario 9",3,"AGB_M",100,0.55101291193579,1,0.0234080420893365,268.871895317702,"AGB_M","Aboveground biomass",40,"Pulse + Press"
"Scenario 1",1,"SRR_M",100,1,1,-0.00924609959551786,3.76993659506212,"SRR_M","Soil respiration rate",0,"Pulse"
"Scenario 10",1,"SRR_M",100,0.925629135828029,0.984369575151841,0.00696002343400623,3.55840432724802,"SRR_M","Soil respiration rate",60,"Pulse + Press"
"Scenario 11",1,"SRR_M",100,0.911519525063678,0.959756315680945,0.00405674323394662,3.51300345790127,"SRR_M","Soil respiration rate",80,"Pulse + Press"
"Scenario 12",1,"SRR_M",100,0.884321268225626,0.929031377163768,0.00263751705430239,3.45470335393,"SRR_M","Soil respiration rate",100,"Pulse + Press"
"Scenario 2",1,"SRR_M",100,0.979845264645392,1,-0.0168201096244658,3.74529956587081,"SRR_M","Soil respiration rate",20,"Pulse"
"Scenario 3",1,"SRR_M",100,0.951014766309831,1,-0.0654075238941785,3.71125213776893,"SRR_M","Soil respiration rate",40,"Pulse"
"Scenario 4",1,"SRR_M",100,0.924877711375634,1,0.0537408283991479,3.68077863528491,"SRR_M","Soil respiration rate",60,"Pulse"
"Scenario 5",1,"SRR_M",100,0.909108262844878,1,0.0261324099669735,3.65934989586766,"SRR_M","Soil respiration rate",80,"Pulse"
"Scenario 6",1,"SRR_M",100,0.884319671352367,1,0.0149370855477582,3.62479663659355,"SRR_M","Soil respiration rate",100,"Pulse"
"Scenario 7",1,"SRR_M",100,1,1,-0.00888944603793742,3.72754863300927,"SRR_M","Soil respiration rate",0,"Pulse + Press"
"Scenario 8",1,"SRR_M",100,0.987415637050396,1,-0.0166329700868045,3.68766160324876,"SRR_M","Soil respiration rate",20,"Pulse + Press"
"Scenario 9",1,"SRR_M",100,0.952597939220325,1,0.0208736659631892,3.61534845114181,"SRR_M","Soil respiration rate",40,"Pulse + Press"
"Scenario 1",2,"SRR_M",100,1,1,-0.00924502498174357,3.76996134695844,"SRR_M","Soil respiration rate",0,"Pulse"
"Scenario 10",2,"SRR_M",100,0.931111941945019,0.992053628602087,0.00840891994323566,3.57234829798739,"SRR_M","Soil respiration rate",60,"Pulse + Press"
