"Scenario","Replicate","Variable","Time","Resistance","Resistance2","Recovery","value","variable","ESLab","Scen_lab","Scen_lab2"
"Scenario 1",1,"Fungi_M",6,1,1.02661249358371,-0.11970444377705,2.33104563584543,"Fungi_M","Fungi species richness",0,"Pulse"
"Scenario 10",1,"Fungi_M",100,NA,NA,NA,NA,"Fungi_M","Fungi species richness",60,"Pulse + Press"
"Scenario 11",1,"Fungi_M",100,NA,NA,NA,NA,"Fungi_M","Fungi species richness",80,"Pulse + Press"
"Scenario 12",1,"Fungi_M",100,NA,NA,NA,NA,"Fungi_M","Fungi species richness",100,"Pulse + Press"
"Scenario 2",1,"Fungi_M",15,0.942405245414713,1.00166794818697,0.10578305114098,2.30274945716543,"Fungi_M","Fungi species richness",20,"Pulse"
"Scenario 3",1,"Fungi_M",33,0.848911674542734,1.00102385900635,0.0361643483511125,2.30200948284526,"Fungi_M","Fungi species richness",40,"Pulse"
"Scenario 4",1,"Fungi_M",51,0.758404302346491,1.00224437202688,0.0220967630928541,2.30341128916876,"Fungi_M","Fungi species richness",60,"Pulse"
"Scenario 5",1,"Fungi_M",65,0.699552213599525,1.00184865522473,0.016841709189064,2.30295698040456,"Fungi_M","Fungi species richness",80,"Pulse"
"Scenario 6",1,"Fungi_M",82,0.611106101593608,1.00155178838829,0.0130707071353747,2.3026160399321,"Fungi_M","Fungi species richness",100,"Pulse"
"Scenario 7",1,"Fungi_M",6,1,1.02572757972412,-0.102856629824259,2.33005374430354,"Fungi_M","Fungi species richness",0,"Pulse + Press"
"Scenario 8",1,"Fungi_M",13,0.9622131998978,1.00166329970556,0.136274101049529,2.30274411837365,"Fungi_M","Fungi species richness",20,"Pulse + Press"
"Scenario 9",1,"Fungi_M",51,0.856413102983479,1.00149302995472,0.0221625347177385,2.30254854607583,"Fungi_M","Fungi species richness",40,"Pulse + Press"
"Scenario 1",2,"Fungi_M",6,1,1.02664026853238,-0.119716924427153,2.33107675450117,"Fungi_M","Fungi species richness",0,"Pulse"
"Scenario 10",2,"Fungi_M",100,NA,NA,NA,NA,"Fungi_M","Fungi species richness",60,"Pulse + Press"
"Scenario 11",2,"Fungi_M",100,NA,NA,NA,NA,"Fungi_M","Fungi species richness",80,"Pulse + Press"
