"Scenario","Replicate","variable","Resistance","ESLab","Scen_lab","Scen_lab2"
"Scenario 9",3,"Tree_richness_M",1,"Tree species richness",40,"Pulse + Press"
"Scenario 9",3,"Timber_M",0.442215465624737,"Timber volume",40,"Pulse + Press"
"Scenario 9",3,"Nitrogen_stock_M",1,"Nitrogen stock",40,"Pulse + Press"
"Scenario 9",3,"Carbon_stock_M",0.809325953056996,"Carbon stock",40,"Pulse + Press"
"Scenario 9",3,"Fungi_val_M",0.597514402008081,"Commercially valuable 
fungi richness",40,"Pulse + Press"
"Scenario 9",3,"Recreation_M",0.859952451305962,"Recreation value",40,"Pulse + Press"
"Scenario 9",3,"Aesthetic_M",0.932837953662688,"Aesthetic value",40,"Pulse + Press"
"Scenario 9",3,"Lichen_M",0.889273368370354,"Lichen species 
richness",40,"Pulse + Press"
"Scenario 9",3,"GF_M",1,"Ground flora 
species richness",40,"Pulse + Press"
"Scenario 9",3,"Fungi_M",0.718092218983847,"Fungi species richness",40,"Pulse + Press"
"Scenario 9",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",40,"Pulse + Press"
"Scenario 9",3,"SRR_M",0.953778457861098,"Soil respiration rate",40,"Pulse + Press"
"Scenario 9",3,"AGB_M",0.55101291193579,"Aboveground biomass",40,"Pulse + Press"
"Scenario 9",3,"Replicate",1,"Replicate",40,"Pulse + Press"
"Scenario 8",3,"Tree_richness_M",1,"Tree species richness",20,"Pulse + Press"
"Scenario 8",3,"Timber_M",0.82161410603676,"Timber volume",20,"Pulse + Press"
"Scenario 8",3,"Nitrogen_stock_M",1,"Nitrogen stock",20,"Pulse + Press"
"Scenario 8",3,"Carbon_stock_M",0.962727570800404,"Carbon stock",20,"Pulse + Press"
"Scenario 8",3,"Fungi_val_M",0.886492344169722,"Commercially valuable 
fungi richness",20,"Pulse + Press"
"Scenario 8",3,"Recreation_M",0.97209884685694,"Recreation value",20,"Pulse + Press"
"Scenario 8",3,"Aesthetic_M",0.986006518117547,"Aesthetic value",20,"Pulse + Press"
"Scenario 8",3,"Lichen_M",0.97996827684206,"Lichen species 
richness",20,"Pulse + Press"
"Scenario 8",3,"GF_M",1,"Ground flora 
species richness",20,"Pulse + Press"
"Scenario 8",3,"Fungi_M",0.935716230063158,"Fungi species richness",20,"Pulse + Press"
"Scenario 8",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",20,"Pulse + Press"
"Scenario 8",3,"SRR_M",0.989835314771181,"Soil respiration rate",20,"Pulse + Press"
"Scenario 8",3,"AGB_M",0.883185652060475,"Aboveground biomass",20,"Pulse + Press"
"Scenario 8",3,"Replicate",1,"Replicate",20,"Pulse + Press"
"Scenario 7",3,"Tree_richness_M",1,"Tree species richness",0,"Pulse + Press"
"Scenario 7",3,"Timber_M",1,"Timber volume",0,"Pulse + Press"
"Scenario 7",3,"Nitrogen_stock_M",1,"Nitrogen stock",0,"Pulse + Press"
"Scenario 7",3,"Carbon_stock_M",1,"Carbon stock",0,"Pulse + Press"
"Scenario 7",3,"Fungi_val_M",1,"Commercially valuable 
fungi richness",0,"Pulse + Press"
"Scenario 7",3,"Recreation_M",1,"Recreation value",0,"Pulse + Press"
"Scenario 7",3,"Aesthetic_M",1,"Aesthetic value",0,"Pulse + Press"
"Scenario 7",3,"Lichen_M",1,"Lichen species 
richness",0,"Pulse + Press"
"Scenario 7",3,"GF_M",0.943781076633995,"Ground flora 
species richness",0,"Pulse + Press"
"Scenario 7",3,"Fungi_M",1,"Fungi species richness",0,"Pulse + Press"
"Scenario 7",3,"Min_rate_M",0.960123342562379,"Nitrogen mineralisation 
rate",0,"Pulse + Press"
"Scenario 7",3,"SRR_M",1,"Soil respiration rate",0,"Pulse + Press"
"Scenario 7",3,"AGB_M",1,"Aboveground biomass",0,"Pulse + Press"
"Scenario 7",3,"Replicate",1,"Replicate",0,"Pulse + Press"
"Scenario 6",3,"Tree_richness_M",1,"Tree species richness",100,"Pulse"
"Scenario 6",3,"Timber_M",0.0073316472181123,"Timber volume",100,"Pulse"
"Scenario 6",3,"Nitrogen_stock_M",0.963169892851939,"Nitrogen stock",100,"Pulse"
"Scenario 6",3,"Carbon_stock_M",0.555088835517731,"Carbon stock",100,"Pulse"
"Scenario 6",3,"Fungi_val_M",0.305306890328019,"Commercially valuable 
fungi richness",100,"Pulse"
"Scenario 6",3,"Recreation_M",0.602849186858822,"Recreation value",100,"Pulse"
"Scenario 6",3,"Aesthetic_M",0.814645183429724,"Aesthetic value",100,"Pulse"
"Scenario 6",3,"Lichen_M",0.661493130294101,"Lichen species 
richness",100,"Pulse"
"Scenario 6",3,"GF_M",1,"Ground flora 
species richness",100,"Pulse"
"Scenario 6",3,"Fungi_M",0.395047383845073,"Fungi species richness",100,"Pulse"
"Scenario 6",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",100,"Pulse"
"Scenario 6",3,"SRR_M",0.884326163263879,"Soil respiration rate",100,"Pulse"
"Scenario 6",3,"AGB_M",0.13376004336649,"Aboveground biomass",100,"Pulse"
"Scenario 6",3,"Replicate",1,"Replicate",100,"Pulse"
"Scenario 5",3,"Tree_richness_M",1,"Tree species richness",80,"Pulse"
"Scenario 5",3,"Timber_M",0.125056658356577,"Timber volume",80,"Pulse"
"Scenario 5",3,"Nitrogen_stock_M",0.976629274909147,"Nitrogen stock",80,"Pulse"
"Scenario 5",3,"Carbon_stock_M",0.634733850534706,"Carbon stock",80,"Pulse"
"Scenario 5",3,"Fungi_val_M",0.384246676862897,"Commercially valuable 
fungi richness",80,"Pulse"
"Scenario 5",3,"Recreation_M",0.687453248448002,"Recreation value",80,"Pulse"
"Scenario 5",3,"Aesthetic_M",0.855405631400245,"Aesthetic value",80,"Pulse"
"Scenario 5",3,"Lichen_M",0.738318006919556,"Lichen species 
richness",80,"Pulse"
"Scenario 5",3,"GF_M",1,"Ground flora 
species richness",80,"Pulse"
"Scenario 5",3,"Fungi_M",0.488527101391731,"Fungi species richness",80,"Pulse"
"Scenario 5",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",80,"Pulse"
"Scenario 5",3,"SRR_M",0.907637904461643,"Soil respiration rate",80,"Pulse"
"Scenario 5",3,"AGB_M",0.250236732525008,"Aboveground biomass",80,"Pulse"
"Scenario 5",3,"Replicate",1,"Replicate",80,"Pulse"
"Scenario 4",3,"Tree_richness_M",1,"Tree species richness",60,"Pulse"
"Scenario 4",3,"Timber_M",0.250259192014751,"Timber volume",60,"Pulse"
"Scenario 4",3,"Nitrogen_stock_M",0.988288379769501,"Nitrogen stock",60,"Pulse"
"Scenario 4",3,"Carbon_stock_M",0.70845207369668,"Carbon stock",60,"Pulse"
"Scenario 4",3,"Fungi_val_M",0.470834895716289,"Commercially valuable 
fungi richness",60,"Pulse"
"Scenario 4",3,"Recreation_M",0.762753647812498,"Recreation value",60,"Pulse"
"Scenario 4",3,"Aesthetic_M",0.889947265086943,"Aesthetic value",60,"Pulse"
"Scenario 4",3,"Lichen_M",0.804644505838066,"Lichen species 
richness",60,"Pulse"
"Scenario 4",3,"GF_M",1,"Ground flora 
species richness",60,"Pulse"
"Scenario 4",3,"Fungi_M",0.583527071151478,"Fungi species richness",60,"Pulse"
"Scenario 4",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",60,"Pulse"
"Scenario 4",3,"SRR_M",0.928176751812956,"Soil respiration rate",60,"Pulse"
"Scenario 4",3,"AGB_M",0.370298977839964,"Aboveground biomass",60,"Pulse"
"Scenario 4",3,"Replicate",1,"Replicate",60,"Pulse"
"Scenario 3",3,"Tree_richness_M",1,"Tree species richness",40,"Pulse"
"Scenario 3",3,"Timber_M",0.446296486863339,"Timber volume",40,"Pulse"
"Scenario 3",3,"Nitrogen_stock_M",1,"Nitrogen stock",40,"Pulse"
"Scenario 3",3,"Carbon_stock_M",0.810991420677827,"Carbon stock",40,"Pulse"
"Scenario 3",3,"Fungi_val_M",0.602801693268899,"Commercially valuable 
fungi richness",40,"Pulse"
"Scenario 3",3,"Recreation_M",0.860307405142214,"Recreation value",40,"Pulse"
"Scenario 3",3,"Aesthetic_M",0.933269449673384,"Aesthetic value",40,"Pulse"
"Scenario 3",3,"Lichen_M",0.889347044380485,"Lichen species 
richness",40,"Pulse"
"Scenario 3",3,"GF_M",1,"Ground flora 
species richness",40,"Pulse"
"Scenario 3",3,"Fungi_M",0.720690701172437,"Fungi species richness",40,"Pulse"
"Scenario 3",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",40,"Pulse"
"Scenario 3",3,"SRR_M",0.954265304388603,"Soil respiration rate",40,"Pulse"
"Scenario 3",3,"AGB_M",0.554586842664786,"Aboveground biomass",40,"Pulse"
"Scenario 3",3,"Replicate",1,"Replicate",40,"Pulse"
"Scenario 2",3,"Tree_richness_M",1,"Tree species richness",20,"Pulse"
"Scenario 2",3,"Timber_M",0.659439445994187,"Timber volume",20,"Pulse"
"Scenario 2",3,"Nitrogen_stock_M",1,"Nitrogen stock",20,"Pulse"
"Scenario 2",3,"Carbon_stock_M",0.902676695242789,"Carbon stock",20,"Pulse"
"Scenario 2",3,"Fungi_val_M",0.761035557365254,"Commercially valuable 
fungi richness",20,"Pulse"
"Scenario 2",3,"Recreation_M",0.93189765581775,"Recreation value",20,"Pulse"
"Scenario 2",3,"Aesthetic_M",0.966494544283566,"Aesthetic value",20,"Pulse"
"Scenario 2",3,"Lichen_M",0.948902832723087,"Lichen species 
richness",20,"Pulse"
"Scenario 2",3,"GF_M",1,"Ground flora 
species richness",20,"Pulse"
"Scenario 2",3,"Fungi_M",0.852127331382321,"Fungi species richness",20,"Pulse"
"Scenario 2",3,"Min_rate_M",1,"Nitrogen mineralisation 
rate",20,"Pulse"
"Scenario 2",3,"SRR_M",0.976268229457338,"Soil respiration rate",20,"Pulse"
"Scenario 2",3,"AGB_M",0.744704646885223,"Aboveground biomass",20,"Pulse"
"Scenario 2",3,"Replicate",1,"Replicate",20,"Pulse"
"Scenario 12",3,"Tree_richness_M",1,"Tree species richness",100,"Pulse + Press"
