"Collapse","ID","Aesthetic","Recreation","mean_AGB"
1,1,4,2,396.107179366667
1,98,4,4,396.107179366667
1,74,4,4,396.107179366667
1,50,5,4,396.107179366667
1,26,5,5,396.107179366667
1,2,4,3,396.107179366667
1,99,4,5,396.107179366667
1,75,4,4,396.107179366667
1,51,4,4,396.107179366667
1,27,5,4,396.107179366667
1,3,5,4,396.107179366667
1,100,3,3,396.107179366667
1,76,2,2,396.107179366667
1,52,4,4,396.107179366667
1,28,4,4,396.107179366667
1,4,5,4,396.107179366667
1,101,5,1,396.107179366667
1,77,5,3,396.107179366667
1,53,5,5,396.107179366667
1,29,5,5,396.107179366667
1,5,4,3,396.107179366667
1,102,5,5,396.107179366667
1,78,5,5,396.107179366667
1,54,5,3,396.107179366667
1,30,5,4,396.107179366667
1,6,5,5,396.107179366667
1,103,5,5,396.107179366667
1,79,3,2,396.107179366667
1,55,4,3,396.107179366667
1,31,4,4,396.107179366667
1,7,3,3,396.107179366667
1,104,4,4,396.107179366667
1,80,2,1,396.107179366667
1,56,4,4,396.107179366667
1,32,4,3,396.107179366667
1,8,3,3,396.107179366667
1,105,4,4,396.107179366667
1,81,5,5,396.107179366667
1,57,3,3,396.107179366667
1,33,5,5,396.107179366667
1,9,3,3,396.107179366667
1,106,5,4,396.107179366667
1,82,4,2,396.107179366667
1,58,2,4,396.107179366667
1,34,5,5,396.107179366667
1,10,3,4,396.107179366667
1,107,3,3,396.107179366667
1,83,5,5,396.107179366667
1,59,4,3,396.107179366667
1,35,4,3,396.107179366667
1,11,4,5,396.107179366667
1,108,4,4,396.107179366667
1,84,4,4,396.107179366667
1,60,5,3,396.107179366667
1,36,4,4,396.107179366667
1,12,4,5,396.107179366667
1,109,3,3,396.107179366667
1,85,5,5,396.107179366667
1,61,4,2,396.107179366667
1,37,5,5,396.107179366667
1,13,5,4,396.107179366667
1,110,5,3,396.107179366667
1,86,5,5,396.107179366667
1,62,4,5,396.107179366667
1,38,5,5,396.107179366667
1,14,4,3,396.107179366667
1,111,4,3,396.107179366667
1,87,4,3,396.107179366667
1,63,5,5,396.107179366667
1,39,4,4,396.107179366667
1,15,4,4,396.107179366667
1,112,5,5,396.107179366667
1,88,5,5,396.107179366667
1,64,5,5,396.107179366667
1,40,4,4,396.107179366667
1,16,4,2,396.107179366667
1,113,3,3,396.107179366667
1,89,4,2,396.107179366667
1,65,4,4,396.107179366667
1,41,5,2,396.107179366667
1,17,4,2,396.107179366667
1,114,4,1,396.107179366667
1,90,5,3,396.107179366667
1,66,4,2,396.107179366667
1,42,3,2,396.107179366667
1,18,4,2,396.107179366667
1,115,5,3,396.107179366667
1,91,5,4,396.107179366667
1,67,3,3,396.107179366667
1,43,4,4,396.107179366667
1,19,4,2,396.107179366667
1,116,4,3,396.107179366667
1,92,2,2,396.107179366667
1,68,4,2,396.107179366667
1,44,5,2,396.107179366667
1,20,3,3,396.107179366667
1,117,4,4,396.107179366667
1,93,5,5,396.107179366667
1,69,4,4,396.107179366667
1,45,3,4,396.107179366667
1,21,5,4,396.107179366667
1,118,4,5,396.107179366667
1,94,5,2,396.107179366667
1,70,4,3,396.107179366667
1,46,5,4,396.107179366667
1,22,5,3,396.107179366667
1,119,5,3,396.107179366667
1,95,5,5,396.107179366667
1,71,3,3,396.107179366667
1,47,4,4,396.107179366667
1,23,4,5,396.107179366667
1,120,5,4,396.107179366667
1,96,5,5,396.107179366667
1,72,5,5,396.107179366667
1,48,5,5,396.107179366667
1,24,5,5,396.107179366667
1,121,4,4,396.107179366667
1,97,5,5,396.107179366667
1,73,5,3,396.107179366667
1,49,5,3,396.107179366667
1,25,2,3,396.107179366667
1,122,5,5,396.107179366667
1,149,5,5,396.107179366667
1,195,4,4,396.107179366667
1,171,4,4,396.107179366667
