"Variable","df","AICc","Model"
"Tree_richness_M",3,-2423.4513114824,"Null"
"Timber_M",5,-177.583816460065,"Linear interaction"
"Nitrogen_stock_M",5,-393.50137823569,"Linear interaction"
"Carbon_stock_M",4,-260.83336422946,"Linear"
"Fungi_val_M",5,-195.406389460336,"Linear interaction"
"Recreation_M",4,-261.015514927624,"Linear"
"Aesthetic_M",4,-320.897032221826,"Linear"
"Lichen_M",4,-263.934351789245,"Linear"
"GF_M",3,-293.808002058523,"Null"
"Fungi_M",4,-234.365405955742,"Linear"
"Min_rate_M",3,-318.097831020864,"Null"
"SRR_M",4,-362.155216922463,"Linear"
"AGB_M",4,-193.792024560895,"Linear"
"Replicate",3,-2423.4513114824,"Null"
